X, Y
1.270349999999999909e+03,1.026079999999999927e+03
6.978700000000000045e+02,3.753999999999999773e+02
1.226369999999999891e+03,1.147140000000000100e+03
1.190160000000000082e+03,1.006190000000000055e+03
1.123619999999999891e+03,9.577300000000000182e+02
9.625000000000000000e+02,4.517699999999999818e+02
8.547999999999999545e+02,3.254900000000000091e+02
8.616900000000000546e+02,4.519599999999999795e+02
9.239600000000000364e+02,3.533000000000000114e+02
8.454900000000000091e+02,4.276899999999999977e+02
1.202759999999999991e+03,9.261399999999999864e+02
1.227720000000000027e+03,1.284900000000000091e+03
6.689800000000000182e+02,2.100399999999999920e+02
1.367710000000000036e+03,1.109359999999999900e+03
8.228700000000000045e+02,5.541299999999999955e+02
7.919700000000000273e+02,2.756299999999999955e+02
8.722400000000000091e+02,2.623299999999999841e+02
1.041579999999999927e+03,8.352699999999999818e+02
8.891200000000000045e+02,3.687599999999999909e+02
1.138119999999999891e+03,6.924500000000000455e+02
1.142130000000000109e+03,5.265900000000000318e+02
9.030599999999999454e+02,3.489300000000000068e+02
7.958700000000000045e+02,2.379000000000000057e+02
8.520900000000000318e+02,3.071399999999999864e+02
8.035499999999999545e+02,3.264499999999999886e+02
1.131440000000000055e+03,1.167589999999999918e+03
1.117299999999999955e+03,7.765000000000000000e+02
1.238940000000000055e+03,1.149460000000000036e+03
1.067759999999999991e+03,9.806399999999999864e+02
1.121089999999999918e+03,1.116640000000000100e+03
9.150099999999999909e+02,5.193200000000000500e+02
9.900499999999999545e+02,7.460900000000000318e+02
1.232059999999999945e+03,1.010440000000000055e+03
9.846200000000000045e+02,4.791600000000000250e+02
1.152950000000000045e+03,1.242779999999999973e+03
6.374099999999999682e+02,2.948500000000000227e+02
8.741699999999999591e+02,5.177200000000000273e+02
8.269500000000000455e+02,2.817500000000000000e+02
9.536200000000000045e+02,3.550899999999999750e+02
1.003570000000000050e+03,3.413999999999999773e+02
1.257480000000000018e+03,9.520599999999999454e+02
7.895599999999999454e+02,3.372200000000000273e+02
7.867300000000000182e+02,2.876000000000000227e+02
1.058210000000000036e+03,5.404600000000000364e+02
7.968300000000000409e+02,4.714499999999999886e+02
8.278500000000000227e+02,3.639200000000000159e+02
1.207130000000000109e+03,1.080099999999999909e+03
1.300950000000000045e+03,1.269779999999999973e+03
7.655299999999999727e+02,2.969399999999999977e+02
8.243400000000000318e+02,3.210400000000000205e+02
8.958600000000000136e+02,2.728600000000000136e+02
9.208200000000000500e+02,3.214599999999999795e+02
1.391349999999999909e+03,1.085740000000000009e+03
1.256380000000000109e+03,1.199400000000000091e+03
1.139220000000000027e+03,9.872400000000000091e+02
1.192049999999999955e+03,8.757500000000000000e+02
1.087950000000000045e+03,7.032200000000000273e+02
1.334400000000000091e+03,1.116849999999999909e+03
9.795099999999999909e+02,4.746800000000000068e+02
8.779700000000000273e+02,3.865799999999999841e+02
8.315399999999999636e+02,3.634499999999999886e+02
9.427699999999999818e+02,4.147500000000000000e+02
1.110289999999999964e+03,7.277799999999999727e+02
1.050259999999999991e+03,5.717400000000000091e+02
7.070000000000000000e+02,3.545199999999999818e+02
1.310710000000000036e+03,1.111880000000000109e+03
1.129460000000000036e+03,7.754700000000000273e+02
8.463600000000000136e+02,3.925400000000000205e+02
6.265599999999999454e+02,3.493999999999999773e+02
1.245460000000000036e+03,1.156339999999999918e+03
